sekce,vzdalenost_m,cas_mereni,teplota_C,tlak_hPa,oblacnost_pct,vitr,vlhkost_pct
vege,7.5,"11:00–11:43",25,963.6,50,"severovýchodní, rychlost do 3 m/s",53
vege,15,"10:06–10:48",24,963.7,50,"severovýchodní, rychlost do 3 m/s",50
vege,30,"9:06–9:50",23,963.9,40,"severovýchodní, rychlost do 2,5 m/s",55
mimo,7.5,"10:20–10:34",-3.9,948.3,0,"severozápadní, rychlost do 1,5 m/s",63
mimo,15,"9:54–10:08",-4.0,948.1,0,"severní, rychlost do 1,5 m/s",62
mimo,30,"9:25–9:40",-3.9,948.0,0,"severní, rychlost do 1,5 m/s",61
