sekce,vzdalenost_m,cas_mereni,teplota_C,tlak_hPa,oblacnost_pct,vitr,vlhkost_pct
vege,7.5,"10:12–10:55",21,966.8,90,"severní, rychlost do 2,5 m/s",70
vege,15,"8:57–9:39",21,966.7,80,"severní, rychlost do 2,5 m/s",70
vege,30,"8:04–8:46",20,966.7,70,"severní, rychlost do 2,5 m/s",70
mimo,7.5,"10:13–10:27",-0.3,969.8,80,"severní, rychlost do 2,5 m/s",86
mimo,15,"9:49–10:03",-0.5,969.7,80,"severozápadní, rychlost do 2,5 m/s",87
mimo,30,"9:18–9:38",-0.6,969.5,90,"severozápadní, rychlost do 2,5 m/s",86
