sekce,vzdalenost_m,cas_mereni,teplota_C,tlak_hPa,oblacnost_pct,vitr,vlhkost_pct
vege,7.5,"14:57–15:43",27,960.2,70,"severovýchodní, rychlost do 2 m/s",40
vege,15,"14:06–14:49",27,960.5,60,"severovýchodní, rychlost do 2 m/s",40
vege,30,"13:13–13:55",27,961.2,60,"severovýchodní, rychlost do 2 m/s",40
mimo,7.5,"13:21–13:35",-1.8,945.0,80,"jihovýchodní, rychlost do 3,5 m/s",64
mimo,15,"13:00–13:15",-2.0,944.5,80,"jihovýchodní, rychlost do 3,5 m/s",63
mimo,30,"12:35–12:50",-3.1,944.8,80,"jihovýchodní, rychlost do 3,5 m/s",68
