stav,0-2.5_0-7.5,0-2.5_0-15,0-2.5_0-30,0-5.5_0-7.5,0-5.5_0-15,0-5.5_0-30,0-p98_0-7.5,0-p98_0-15,0-p98_0-30,max_height,p98_canopy,mean_canopy_height,mean_voxel_height,sd_voxel_height,cv_voxel_height,FHD
Ve vegetační sezóně 1,61.75,67.98,67.07,56.78,63.15,63.39,35.68,40.01,37.73,16.16,13.00,7.65,2.89,2.07,0.71,2.68
Ve vegetační sezóně 2,59.34,62.51,59.89,56.66,60.63,59.05,38.15,40.18,36.68,16.63,13.51,8.00,3.12,2.29,0.73,2.77
Mimo vegetační sezónu,57.05,64.52,64.53,53.27,61.82,62.72,35.07,41.45,39.97,16.24,13.87,8.02,3.52,2.60,0.74,2.89
